店舗名,電話番号,メールアドレス,都道府県,市町村,番地,建物名,URL,SSL
近畿大学水産研究所 銀座店,050-5484-4967,,東京都,中央区銀座,6-2,東京高速道路山下ビル2F, , 
隠れ居肴家 わびさび 新橋本店,050-5488-7184,,東京都,港区新橋,2-9-6,3F, , 
東京銀座 鉄板焼 若会席 大和館,050-5484-9094,,東京都,千代田区内幸町,1-2-2,日比谷ダイビル B1F, , 
お肉と鮮魚 焼酎居酒屋 よくバル 新橋,050-5487-3014,,東京都,港区新橋,2-16-1,ニュー新橋ビル2F, , 
本格中国料理 翠嵐,050-5486-9437,,千葉県,千葉市美浜区ひび野,1-11,ホテルスプリングス幕張本館2F, , 
築地寿司岩総本店,050-5486-6504,,東京都,中央区築地,2-15-12,, , 
GINZA SORA,050-5485-5731,,東京都,中央区銀座,8-4-5,GINZA HACHIKAN3110ビル1F, , 
とんちゃん新大久保店 別館,050-5492-5117,,東京都,新宿区百人町,2-1-4,盛好堂ビル2F, , 
300円均一海鮮居酒屋 志なのすけ庄内店,050-5486-1041,,大阪府,豊中市庄内西町,3-2-3,, , 
神戸牛炭火焼ステーキ×個室 銀座 Fun,050-5488-7380,,東京都,中央区銀座,7-15-5,共同ビルB1, , 
香水亭 新橋店,050-5486-5457,,東京都,港区新橋,1-15-5,ぺルサ115 7F, , 
七輪焼肉 安安アリオ川口店,050-5487-4832,,埼玉県,川口市並木元町,1-79,アリオ川口3F, , 
銀座 海老料理＆和牛レストランマダムシュリンプ東京,050-5493-4974,,東京都,中央区銀座,8-4-27,菊乃香銀座ビル（旧プラーザ銀座ビル）4F, , 
個室 串と肉炙り寿司KUSHIEMON‐串笑門‐刈谷店,050-5488-7947,,愛知県,刈谷市桜町,2-32-1,, , 
東京ワインバル 八十郎築地店,050-5492-1471,,東京都,中央区築地,1-3-4,ニイクラビル1F, , 
銀座方舟 大吟醸しずく店,050-5484-7224,,東京都,中央区銀座,8-8-8,GINZA888ビル6F, , 
ぴょんぴょん舎 GINZA UNA,050-5486-3596,,東京都,中央区銀座,3-2-15,ギンザ･グラッセ11F, , 
完全個室×記念日×最高級和牛焼肉excellent,050-5486-6866,,東京都,中央区銀座,6-9-9,かねまつビル7F, , 
わらやき屋品川,050-5484-9181,,東京都,港区港南,2-5-5,港南OMTビル2・3F, , 
鉄板焼きステーキ 碧 銀座三越店,050-5488-9180,,東京都,中央区銀座,4-6-16,, , 
全席個室ダイニング 忍家赤羽駅前店,03-3902-6662,,東京都,北区赤羽,1-16-2,TN-1st 6F, , 
矢の根寿司日本橋本店,050-5486-0434,,東京都,中央区日本橋室町,3-3-9,1F, , 
個室泳ぎイカ 九州うまか 近鉄奈良駅前店,050-5484-6725,,奈良県,奈良市中筋町,6-1,奈良ラインハウス4F, , 
日本料理 銀座 萬菊,050-5485-3405,,東京都,中央区銀座,6-16-6,坂口銀座ビル2F, , 
日本料理 いしづか,050-5485-2062,,東京都,中央区銀座,1-13-8,ハビウル銀座5F, , 
すき焼・割烹 銀座 吉澤,050-5484-2132,,東京都,中央区銀座,3-9-19,, , 
焼肉×和食 日本焼肉 はせ川,050-5484-4570,,東京都,中央区銀座,6-4-6,646ビル2F, , 
銀座鮨 すし縁,050-5488-5669,,東京都,中央区銀座,7-3-13,ニューギンザビルB1, , 
O2,050-5493-1966,,東京都,江東区三好,2-15-12,峯岸ビル1F, , 
古民家個室 創作和食 武蔵真久作新橋店,050-5494-5761,,東京都,港区新橋,2-16-1,ニュー新橋ビル3F, , 
札幌成吉思汗 しろくま新橋店,050-5486-0962,,東京都,港区新橋,2-8-14,山田ビル新館1F, , 
米沢牛黄木 銀座店,050-5487-9567,,東京都,中央区銀座,5-7-6,i liv 12F, , 
個室会席 北大路銀座本店,050-5484-5058,,東京都,中央区銀座,8-5-12,第二ウルワシビル1階地下2階, , 
フォルクス豊洲店,050-5493-7443,,東京都,江東区豊洲,3-3-3,あいプラザ1F, , 
ヘイフンテラス／ザ・ペニンシュラ東京,050-5488-2512,,東京都,千代田区有楽町,1-8-1,ザ・ペニンシュラ東京2F, , 
焼き肉家 ますいち 東店,050-5494-3870,,京都府,京都市南区西九条比永城町,12-6,, , 
びいどろ銀座店,050-5484-7228,,東京都,中央区銀座,5-8,ギンザプラザ58ビルB1, , 
クサツタテナガ,050-5485-2156,,滋賀県,草津市大路,1-18-32,MEGUMIビル1F, , 
新橋シャモロック酒場第2鶏舎,050-5489-5989,,東京都,港区新橋,2-16-1,ニュー新橋ビル2F, , 
BLANC’O 酒蔵SAKE食堂,050-5487-4702,,兵庫県,尼崎市南塚口町,1-12-5,, , 
銀座ステーキグリル 響ブッフ,050-5487-0275,,東京都,中央区銀座,7-7-7,GINZA777 ADCBUILDING3F, , 
創作酒庵 彩蔵,050-5485-1658,,埼玉県,さいたま市南区南浦和,2-44-1,2F, , 
によろ助 銀座,050-5486-4750,,東京都,中央区銀座,6-12-7,銀座新星ビル1・2F, , 
三代目 文治銀座本店,050-5484-4495,,東京都,中央区銀座先,7-2,銀座コリドー, , 
全席個室 びすとろ家橋本駅前店,050-5486-2423,,神奈川県,相模原市緑区橋本,3-17-7,DK相模原橋本ビル 1F, , 
銀座 Sun‐mi本店フランス料理EMU（エミュ）,050-5485-9867,,東京都,中央区銀座,6-3-9,, , 
過門香銀座本店,050-5485-0477,,東京都,中央区銀座,1-10-6,銀座ファーストビルB1, , 
銀座 Sun-mi本店日本料理香川,050-5485-2225,,東京都,中央区銀座,6-3-9,4F, , 
TO THE HERBSアクアシティお台場店,050-5486-4976,,東京都,港区台場,1-7-1,アクアシティお台場R503, , 
個室×ビストロ Borghini（ボルギーニ）新橋店,050-5487-8508,,東京都,港区新橋,2-11-10,HULIC＆NewSHINBASHI3F, , 
